Country,Population,regulations,firearms_per_100,Fire_arms_with_civilians,Computation_method,Registered_firearms,Unregistered_firearms,Gun_Death_Rate,Deaths_by_firearm,Suicide_Rate_by_Firearm,Unintentional_Deaths_by_Firearms,Police_Killings,Rate_Police_Killing _per_10M,Data_Year_Police_Killing,Notes
Albania,3000,restrictive,62.1,2000,2,1705,295,1.39,40,0.97,0.13 per 100k,,,,
Algeria,28120000,,52.8,14859000,2,,,0.31,135,0.17,0.12 per 100k,,,,
American Samoa,270000,,42.5,115000,2,55000,60000,,,,,,,,
Andorra,6946000,,39.1,2719000,2,1186086,1532914,0.08,0,0.6,0.02 per 100k,,,,
Angola,626000,,39.1,245000,3,103536,141464,0.61,161,0.37,0.48 per 100k,100.1,34.7,2016,Data covers capital city only.
Antigua and Barbuda,36626000,restrictive,34.7,12708000,2,2081442,10626558,1.9,2,0.07,4.16 per 100k,,,,
Argentina,3457000,restrictive,34.7,1198000,2,605313,592687,3.64,1709,2.67,0.88 per 100k,95,21.6,2019,
Armenia,839000,restrictive,34,285000,2,154327,130673,0.64,21,0.49,0.5 per 100k,,,,
Aruba,5541000,,32.4,1793000,1,1542396,250604,,,,,,,,
Australia,6039000,restrictive,31.9,1927000,2,,,0.18,45,0.75,0.04 per 100k,4,1.7,2016 2017,
Austria,334000,restrictive,31.7,106000,2,73000,33000,0.13,13,2.47,0.04 per 100k,,,,
Azerbaijan,3793000,restrictive,31.2,1185000,2,353000,832000,0.27,29,0.09,0.16 per 100k,,,,
Bahamas,8592000,restrictive,30,2577000,1,837000,1740000,,,,,11,275.7,2018,
Bahrain,2083000,,29.8,621000,2,169687,451313,0.36,6,0.1,0.12 per 100k,,,,
Bangladesh,38000,restrictive,28.8,11000,3,,,0.78,1235,0.15,0.07 per 100k,466,28.3,2018,
Barbados,5331000,restrictive,28.8,1537000,2,1254638,282362,4.3,12,0.24,0.73 per 100k,,,,
Belarus,421000,restrictive,28.3,119000,2,96425,22575,0.43,45,0.56,0.1 per 100k,,,,
Belgium,8454000,restrictive,27.6,2332000,2,791719,1540281,0.34,41,1.58,0.06 per 100k,5,4.3,2021,
Belize,4605000,restrictive,26.3,1212000,2,1200000,12000,15.04,67,0.73,3.03 per 100k,,,,
